"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected","SYMBOL","LABEL"
"ENSG00000251072.2",2.65115199175368,0.160854884644592,0.844978626223997,0.190365625416365,0.84902263204557,0.946480917602813,"Stable","Stable",0.946480917602813,"LMNB1-DT","LMNB1-DT"
"ENSG00000259449.1",26.0781280061449,-0.0739017864910209,0.388152142949975,-0.190393864450583,0.849000505199255,0.946480917602813,"Stable","Stable",0.946480917602813,"NIFKP8","NIFKP8"
"ENSG00000270640.1",1.92785795796288,0.346989018715282,1.82488280032485,0.190143179963948,0.849196934527243,0.946490498433836,"Stable","Stable",0.946490498433836,NA,"ENSG00000270640.1"
"ENSG00000285082.3",9.50342636194471,0.135466489068341,0.712566416715902,0.190110684268118,0.849222397928254,0.946490498433836,"Stable","Stable",0.946490498433836,NA,"ENSG00000285082.3"
"ENSG00000227640.5",267.276216200937,0.0368704072363789,0.193850528807681,0.190200189100118,0.849152262945194,0.946490498433836,"Stable","Stable",0.946490498433836,"SOX21-AS1","SOX21-AS1"
"ENSG00000169018.6",2799.82063714229,-0.0116338490060181,0.0611841622421015,-0.190144778970476,0.849195681560922,0.946490498433836,"Stable","Stable",0.946490498433836,"FEM1B","FEM1B"
"ENSG00000276148.1",12.2759003528981,-0.187624851627867,0.9866904419069,-0.190155740502826,0.849187092218586,0.946490498433836,"Stable","Stable",0.946490498433836,NA,"ENSG00000276148.1"
"ENSG00000029364.12",2250.11000014415,-0.00705603199201835,0.0371442430328008,-0.189963004113111,0.849338121051077,0.9465768587529,"Stable","Stable",0.9465768587529,"SLC39A9","SLC39A9"
"ENSG00000077150.21",465.763923667478,0.0210163376073247,0.11076834308718,0.189732346098052,0.849518872654984,0.946735681473648,"Stable","Stable",0.946735681473648,"NFKB2","NFKB2"
"ENSG00000010810.18",8328.57169025627,0.00474364402172738,0.0250154026601805,0.189628929270777,0.849599916229192,0.946783376530731,"Stable","Stable",0.946783376530731,"FYN","FYN"
"ENSG00000267030.1",7.26832169437672,0.189861024300986,1.00188482271462,0.189503843152904,0.849697943271489,0.946849992603453,"Stable","Stable",0.946849992603453,NA,"ENSG00000267030.1"
"ENSG00000280138.1",90.826300823497,-0.0933056617149117,0.4925690911564,-0.189426546224934,0.84975852021377,0.94687487251944,"Stable","Stable",0.94687487251944,NA,"ENSG00000280138.1"
"ENSG00000258890.8",537.22390509352,-0.0164900140709535,0.0870950841695475,-0.189333465007652,0.849831468345904,0.946913534631267,"Stable","Stable",0.946913534631267,"CEP95","CEP95"
"ENSG00000183876.9",45.1101730778984,0.106528400297556,0.56308431499504,0.189187298350682,0.84994602234931,0.946998549971067,"Stable","Stable",0.946998549971067,"ARSI","ARSI"
"ENSG00000273306.1",37.4534168135736,0.0463671635069248,0.245923316869859,0.188543177186659,0.850450871888642,0.947319698696236,"Stable","Stable",0.947319698696236,NA,"ENSG00000273306.1"
"ENSG00000229251.3",566.488919303699,0.0231863915190114,0.122967112841328,0.188557663779016,0.850439516906834,0.947319698696236,"Stable","Stable",0.947319698696236,NA,"ENSG00000229251.3"
"ENSG00000130449.6",1996.69195179735,-0.0218051880479163,0.115534185040348,-0.188733646585219,0.850301579314593,0.947319698696236,"Stable","Stable",0.947319698696236,"ZSWIM6","ZSWIM6"
"ENSG00000213793.6",170.327704566911,-0.0225352749215652,0.11953366193233,-0.188526600434301,0.850463865232283,0.947319698696236,"Stable","Stable",0.947319698696236,"ZNF888","ZNF888"
"ENSG00000078081.8",10.7958518772957,-0.150648905926021,0.798435928549188,-0.188680018695753,0.850343613060578,0.947319698696236,"Stable","Stable",0.947319698696236,"LAMP3","LAMP3"
"ENSG00000225356.3",3.46107489627123,-0.312775104374136,1.65848650778415,-0.188590683678232,0.850413635135173,0.947319698696236,"Stable","Stable",0.947319698696236,NA,"ENSG00000225356.3"
