"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected","SYMBOL","LABEL"
"ENSG00000196357.12",48.3043687299474,-0.16109192083495,0.336384445763531,-0.478892299759286,0.632015249237647,0.90932040675153,"Stable","Stable",0.90932040675153,"ZNF565","ZNF565"
"ENSG00000267757.4",11.3375495820276,0.330793594958537,0.691131590870248,0.478626066769736,0.632204670851791,0.909333925849416,"Stable","Stable",0.909333925849416,"EML2-AS1","EML2-AS1"
"ENSG00000263179.1",216.981605787117,-0.0797367717200416,0.166588112661557,-0.478646227789592,0.632190325680407,0.909333925849416,"Stable","Stable",0.909333925849416,NA,"ENSG00000263179.1"
"ENSG00000218730.1",122.868171584016,-0.106452347090351,0.222437166313732,-0.478572663258117,0.632242669723812,0.909333925849416,"Stable","Stable",0.909333925849416,NA,"ENSG00000218730.1"
"ENSG00000024048.11",883.161950228599,0.0440235178404258,0.0920153112363148,0.4784368736999,0.63233929414932,0.909344585957113,"Stable","Stable",0.909344585957113,"UBR2","UBR2"
"ENSG00000255522.1",22.7916828747886,-0.236180772109773,0.493621972635633,-0.478464868264909,0.632319373409045,0.909344585957113,"Stable","Stable",0.909344585957113,NA,"ENSG00000255522.1"
"ENSG00000103932.12",1161.73036462689,-0.0319388635026231,0.0667778383715282,-0.478285375530226,0.632447103835465,0.909371325912667,"Stable","Stable",0.909371325912667,"RPAP1","RPAP1"
"ENSG00000170855.4",541.729400816067,-0.0505990685328141,0.105791246357166,-0.478291638251286,0.632442646980002,0.909371325912667,"Stable","Stable",0.909371325912667,"TRIAP1","TRIAP1"
"ENSG00000025708.14",156.247735331141,0.086026232927421,0.180061291600102,0.477760834452286,0.632820440029099,0.909624016037623,"Stable","Stable",0.909624016037623,"TYMP","TYMP"
"ENSG00000225165.3",175.293391563723,0.077649707172474,0.162490328119028,0.477872794469304,0.632740745892914,0.909624016037623,"Stable","Stable",0.909624016037623,NA,"ENSG00000225165.3"
"ENSG00000261614.1",1433.33131295416,0.0294159106596367,0.0615475091039216,0.477938280328593,0.632694134451891,0.909624016037623,"Stable","Stable",0.909624016037623,NA,"ENSG00000261614.1"
