"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected"
"ENSG00000063601.17",688.05071450818,-0.050674381130644,0.11483288912366,-0.441288044891689,0.659004479911792,0.877446845615934,"Stable","Stable",0.877446845615934
"ENSG00000227436.1",25.2168108304172,0.226193226623564,0.512828511140375,0.441069912670376,0.659162384440042,0.87754144350911,"Stable","Stable",0.87754144350911
"ENSG00000085788.14",669.594047962278,0.0428466652069678,0.0971588251465592,0.440996123021617,0.659215803736993,0.877550965011198,"Stable","Stable",0.877550965011198
"ENSG00000226989.1",11.8566263157735,0.296327541053134,0.672156610490896,0.440860859549856,0.659313730922616,0.877558142765562,"Stable","Stable",0.877558142765562
"ENSG00000008382.16",199.9143573523,0.0730727927945129,0.165742680976056,0.440880962973377,0.659299176204763,0.877558142765562,"Stable","Stable",0.877558142765562
"ENSG00000119446.14",813.097516006922,0.037120751341575,0.0842146463671083,0.440787356391171,0.659366947719674,0.877567391579473,"Stable","Stable",0.877567391579473
"ENSG00000140104.14",347.045019869315,0.070514545045159,0.160104456619701,0.440428371164292,0.659626880285484,0.877790152134623,"Stable","Stable",0.877790152134623
"ENSG00000170006.13",2944.09140121051,-0.0366246823210188,0.0831536293124462,-0.44044598683003,0.659614124246594,0.877790152134623,"Stable","Stable",0.877790152134623
"ENSG00000070950.10",1545.33204956891,0.0338106232666074,0.0767920598599357,0.440288010613025,0.659728523161767,0.877805848301599,"Stable","Stable",0.877805848301599
"ENSG00000277462.2",104.888113384453,-0.0891259639674265,0.202428229578413,-0.440284263479677,0.65973123675538,0.877805848301599,"Stable","Stable",0.877805848301599
"ENSG00000176393.11",1983.84232157558,0.0434070312697647,0.098624175752765,0.440125668361267,0.659846092043292,0.877897083879428,"Stable","Stable",0.877897083879428
"ENSG00000128285.5",9.65361880946297,0.231150357832381,0.52582610905328,0.439594675602081,0.660230697698585,0.8779776795379,"Stable","Stable",0.8779776795379
"ENSG00000162699.5",23.7437684890875,0.184197196787199,0.418944391336168,0.439669800089043,0.660176278502621,0.8779776795379,"Stable","Stable",0.8779776795379
"ENSG00000289182.1",24.2661607150949,0.130924963449115,0.297773444017014,0.439679783673504,0.660169046659893,0.8779776795379,"Stable","Stable",0.8779776795379
