ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0050808,synapse organization,12/169,493/18888,0.0016450853939065794,0.04069941264524877,0.03425240956997068,NEFL/GABRE/ROBO2/THBS2/GPM6A/SLITRK2/SLITRK4/PLXNA4/CDH6/PCDHB5/CHRDL1/ADGRB1,12
BP,GO:0042692,muscle cell differentiation,11/169,428/18888,0.0016741144070816472,0.04100751527841579,0.03451170711003125,IGFBP5/FOXP1/MEGF10/FOXF1/JAM2/PRDM6/MYBPH/PRICKLE1/APLNR/SOX6/ADGRB1,11
BP,GO:0045926,negative regulation of growth,8/169,247/18888,0.0017513722084434846,0.042479361212639025,0.03575040483282986,IGFBP5/BST2/SERPINE2/FOXP1/SLIT2/SLIT3/SEMA7A/NPR1,8
BP,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,8/169,249/18888,0.0018420336392919263,0.04424457498648763,0.03723599937168555,OPRD1/CHRM3/ADGRD1/GRIK3/PTGER4/PTGFR/GPR4/ADGRB1,8
BP,GO:0003156,regulation of animal organ formation,3/169,28/18888,0.001955707021564205,0.04652326126297927,0.03915372964224694,ROBO1/ROBO2/BMP7,3
BP,GO:1990868,response to chemokine,5/169,101/18888,0.002144106635717467,0.04919920557825344,0.041405790168823266,ROBO1/SLIT2/CMKLR1/SLIT3/CXCL12,5
BP,GO:1990869,cellular response to chemokine,5/169,101/18888,0.002144106635717467,0.04919920557825344,0.041405790168823266,ROBO1/SLIT2/CMKLR1/SLIT3/CXCL12,5
BP,GO:0006910,"phagocytosis, recognition",3/169,29/18888,0.0021671318621854074,0.04919920557825344,0.041405790168823266,MEGF10/COLEC12/ADGRB1,3
BP,GO:0021952,central nervous system projection neuron axonogenesis,3/169,29/18888,0.0021671318621854074,0.04919920557825344,0.041405790168823266,CDH11/SLIT2/PLXNA4,3
BP,GO:0045744,negative regulation of G protein-coupled receptor signaling pathway,4/169,61/18888,0.00217060936837475,0.04919920557825344,0.041405790168823266,ROBO1/SLIT2/SLIT3/APLNR,4
BP,GO:0031099,regeneration,7/169,200/18888,0.002187515203560177,0.04919920557825344,0.041405790168823266,THY1/NEFL/NNMT/APOD/POSTN/LGR6/CXCL12,7
BP,GO:0001649,osteoblast differentiation,8/169,257/18888,0.0022424139850279537,0.04997956935999241,0.04206254018383398,IGFBP5/IFITM1/SEMA7A/BMP7/BAMBI/LEF1/SOX11/GDPD2,8
CC,GO:0062023,collagen-containing extracellular matrix,19/178,428/19894,1.0648511582653966e-8,2.57693980300226e-6,2.275418790819742e-6,SERPINE2/SPON1/COL21A1/THBS2/FIBCD1/POSTN/AZGP1/MXRA5/SEMA7A/BMP7/COL19A1/FREM1/CXCL12/NTN4/COL5A3/MGP/COL8A1/SERPING1/COLEC12,19
CC,GO:0032589,neuron projection membrane,6/178,60/19894,1.5816188847618603e-5,0.001913758850561851,0.0016898349137192507,THY1/GABRE/ROBO2/OPRD1/EPB41L3/LAMP5,6
CC,GO:0030673,axolemma,3/178,15/19894,2.960680615280872e-4,0.023882823629932368,0.021088356663228666,THY1/ROBO2/EPB41L3,3
CC,GO:0032590,dendrite membrane,4/178,40/19894,4.403303056765904e-4,0.026639983493433717,0.02352290843482838,THY1/GABRE/OPRD1/LAMP5,4
CC,GO:0005581,collagen trimer,5/178,86/19894,0.001051692148948778,0.040678209579019686,0.035918558262466274,COL21A1/COL19A1/COL5A3/COL8A1/COLEC12,5
CC,GO:0031256,leading edge membrane,7/178,179/19894,0.0011654402234604173,0.040678209579019686,0.035918558262466274,THY1/GABRE/ROBO2/OPRD1/KCNA2/EPB41L3/LAMP5,7
CC,GO:0098978,glutamatergic synapse,11/178,409/19894,0.0011766424258394124,0.040678209579019686,0.035918558262466274,GPM6A/CDH11/FXYD6/KCNA2/CADPS/SLITRK2/SLITRK4/GRIK3/PLXNA4/CDH6/CADPS2,11
MF,GO:0005201,extracellular matrix structural constituent,10/170,166/18522,3.156630716806879e-6,0.0011679533652185453,0.001076577212889925,CHI3L1/SPON1/COL21A1/THBS2/POSTN/MXRA5/COL19A1/COL5A3/MGP/COL8A1,10
MF,GO:0008201,heparin binding,9/170,174/18522,3.346732703144857e-5,0.006191455500817985,0.005707059977994388,SERPINE2/THBS2/SLIT2/POSTN/SLIT3/BMP7/LGR6/TENM1/COL5A3,9
MF,GO:0005539,glycosaminoglycan binding,10/170,239/18522,7.420606418238993e-5,0.008042099139411629,0.007412916418689524,SERPINE2/THBS2/SLIT2/POSTN/SLIT3/NOD2/BMP7/LGR6/TENM1/COL5A3,10
MF,GO:0032052,bile acid binding,3/170,10/18522,8.694161231796355e-5,0.008042099139411629,0.007412916418689524,AKR1C1/AKR1C3/AKR1C2,3
MF,GO:0004032,alditol:NADP+ 1-oxidoreductase activity,3/170,12/18522,1.5725083421565535e-4,0.011354218606083858,0.010465908473317695,AKR1C1/AKR1C3/AKR1C2,3
MF,GO:1901681,sulfur compound binding,10/170,267/18522,1.8412246388244095e-4,0.011354218606083858,0.010465908473317695,SERPINE2/THBS2/CHST15/SLIT2/POSTN/SLIT3/BMP7/LGR6/TENM1/COL5A3,10
MF,GO:0004303,estradiol 17-beta-dehydrogenase [NAD(P)] activity,3/170,19/18522,6.606424036086435e-4,0.034919669905028296,0.03218769004048128,AKR1C1/AKR1C3/AKR1C2,3
MF,GO:0030020,extracellular matrix structural constituent conferring tensile strength,4/170,45/18522,7.611043948304698e-4,0.03520107826090923,0.03244708209540424,COL21A1/COL19A1/COL5A3/COL8A1,4
MF,GO:0033293,monocarboxylic acid binding,5/170,81/18522,8.96398330108357e-4,0.03685193134889912,0.03396877882515879,NOD2/AKR1C1/CYP27C1/AKR1C3/AKR1C2,5
MF,GO:0008106,alcohol dehydrogenase (NADP+) activity,3/170,23/18522,0.001175326715966666,0.043487088490766636,0.04008482694454735,AKR1C1/AKR1C3/AKR1C2,3
