"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"ENSG00000204446.4",0.0495056172493241,0,0,0,0.0330736553732751,0.07121574585184,0.204753455974922,0.175362990925882,0.237944421125616,0.280028085220788,0.0504065654484758,0.0939200956407783,0,0,0,0,0,0,0,0,0.0517623852735322,0.0222718100033325,0.0223438742574443,0.0894473946213782,0,0,0,0,0,0
"ENSG00000288903.1",0.0385083319573873,0,0,0,0,0,0,0.0341018688526016,0,0,0.0392091415676305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212421.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000289166.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000288968.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190495045131486,0,0,0,0,0,0,0,0,0,0,0,0.15770151142182,0,0.155642859142401,0
"ENSG00000228373.2",6.93816465593773,10.1580849601707,6.27007165049922,5.41085826362831,6.18032133196374,4.96822955599621,20.4060444277776,10.3769363697786,10.9676820234451,9.51410106325312,7.37840642107483,11.0316892997317,5.43130289937911,4.08970840828917,3.20910883721503,5.5307277141593,2.71598897533424,5.51706623522897,3.65503886917581,3.53427123916094,3.86903921309933,2.91328123964745,5.42788565398966,4.45723247967145,4.55260246509325,4.37221632322076,5.31332784636593,4.31665887150019,6.03056216538672,5.7921096021593
"ENSG00000286842.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196730.13",0.0360010539448946,0.0296486539026086,0.06290835807851,0.0694883459091916,0,0.0673255817373917,3.48317460032968,5.90206189372494,6.63592746609613,2.74913517476578,3.03330334959587,2.73199092753014,0.24034402360478,0.234143611161594,0.210746370652312,0.22048527363225,0.233153653552293,0.253741055028152,0.431167117013798,0.250520862099739,0.395243116740053,0.603312780507313,0.67025979113029,0.723649806210691,0.377201878707554,0.467914185167317,0.383826500801131,0.21261047147179,0.329072475200716,0.366287428066503
"ENSG00000219928.2",234.302617921207,393.38254304569,254.428877283368,195.985017935006,234.875890006698,216.350489039441,329.9647331733,157.913995391276,169.421555953963,210.877680654863,220.504099940167,175.081477862165,333.007136611542,333.522771917375,430.850526127474,334.200462996887,306.28789803651,286.287888444588,201.849871649743,209.986394641992,195.119649970958,267.202264547194,217.94728602993,220.203935076872,333.553669670903,312.141625118826,315.593352253976,300.941207029264,280.913892771462,314.254441332261
"ENSG00000236709.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000135047.16",46.1858274884492,56.5333238066361,46.5107668553359,68.5806147989402,69.7464039949406,69.6946553416752,15.3512672684839,13.1361202135961,11.7880967008701,11.2764327777343,10.8034430050286,10.6068361840686,11.4534190205426,11.547254560293,11.9565946141681,11.6871441987809,10.647975176631,11.5762423649932,1.98207980554847,2.09733186105552,2.29697172324658,2.10644578426987,1.69297704023234,1.99647631006059,11.6929160583747,12.1012042385306,11.9773691678264,11.1535460290112,11.2913000095168,11.8424825101754
"ENSG00000237747.1",1.00078935397715,0.91577742359375,0.423947285661355,1.09267817362591,0.594316614446813,0.447898642357495,0.262808180662877,1.13245637439368,0.427573914022675,0.571813748600511,0.679335085246657,0.783573106230682,0.37908069093246,0,0.115723758346173,0.389158473849036,0.230450235322478,0.361729219810751,0.219674088299979,0.667592348193665,0.930143500144083,0.200106498199151,0.351319459805156,0.703204153346223,0.953253972378704,0.233580160073437,0.19160405548615,0.583736809946281,0.18910283579576,0.397846508569161
"ENSG00000188029.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000290757.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276478.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237743.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
