ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0071695,anatomical structure maturation,15/453,271/18888,0.0023961959094285783,0.039949378201993256,0.03291112023813062,CNTN2/C1QL1/PTPRN/WNT1/WNT10B/SHB/CDK5R2/BMP2/ACTL6B/CDH3/CEBPA/CNGB1/AXL/RFLNA/ZNF664-RFLNA,15
BP,GO:0006936,muscle contraction,18/453,355/18888,0.002435254752094042,0.04022012075785044,0.03313416352967677,HOMER1/CRYAB/GRIP2/SCN3A/PGAM2/HCN4/RYR3/KCNN2/DRD2/SLC8A3/KLHL41/SCN5A/ITGA2/ATP1A2/CACNG1/TNNT1/MYL9/MYLK2,18
BP,GO:0030324,lung development,12/453,193/18888,0.0024813726587022884,0.04022012075785044,0.03313416352967677,IGFBP5/EGFR/RDH10/SMPD3/CHI3L1/SHH/BMP2/ADAMTS2/CEBPA/FOXF1/NOG/ADAMTSL2,12
BP,GO:0009952,anterior/posterior pattern specification,13/453,219/18888,0.0025083369394848735,0.04022012075785044,0.03313416352967677,PLXNA2/NKD1/WNT1/SHH/SFRP1/HOXD10/BMP2/WT1/HOXD9/HES2/HOXB7/FOXF1/NOG,13
BP,GO:0032970,regulation of actin filament-based process,19/453,385/18888,0.002529621081214867,0.04022012075785044,0.03313416352967677,CTNNA2/RND3/FAM107A/ARHGAP6/HCN4/SYNPO/SFRP1/MYO3B/SCN5A/CARMIL2/SERPINF2/SYNPO2L/MYLK3/MAGEL2/PLEK/ATP1A2/WNT4/F11R/MYLK2,19
BP,GO:0001953,negative regulation of cell-matrix adhesion,5/453,40/18888,0.0025572968977810645,0.04022012075785044,0.03313416352967677,FAM107A/ARHGAP6/SERPINE1/NEXMIF/APOD,5
BP,GO:0030279,negative regulation of ossification,5/453,40/18888,0.0025572968977810645,0.04022012075785044,0.03313416352967677,SFRP1/TPH1/SMAD6/RFLNA/ZNF664-RFLNA,5
BP,GO:0048246,macrophage chemotaxis,5/453,40/18888,0.0025572968977810645,0.04022012075785044,0.03313416352967677,MSTN/CMKLR1/RARRES2/IL34/CCL2,5
BP,GO:0052652,cyclic purine nucleotide metabolic process,5/453,40/18888,0.0025572968977810645,0.04022012075785044,0.03313416352967677,EPHA2/PDE2A/PDE1A/ADCY2/NPR1,5
BP,GO:0006705,mineralocorticoid biosynthetic process,3/453,12/18888,0.0025656590950028147,0.04022012075785044,0.03313416352967677,BMP5/BMP2/WNT4,3
BP,GO:0010752,regulation of cGMP-mediated signaling,3/453,12/18888,0.0025656590950028147,0.04022012075785044,0.03313416352967677,PDE2A/RUNDC3A/NPR1,3
BP,GO:0031223,auditory behavior,3/453,12/18888,0.0025656590950028147,0.04022012075785044,0.03313416352967677,NRXN2/HTT/DRD2,3
BP,GO:0032351,negative regulation of hormone metabolic process,3/453,12/18888,0.0025656590950028147,0.04022012075785044,0.03313416352967677,BMP5/BMP2/WNT4,3
BP,GO:0034650,cortisol metabolic process,3/453,12/18888,0.0025656590950028147,0.04022012075785044,0.03313416352967677,BMP5/BMP2/WNT4,3
BP,GO:0042416,dopamine biosynthetic process,3/453,12/18888,0.0025656590950028147,0.04022012075785044,0.03313416352967677,TH/GPR37/DDC,3
BP,GO:1902043,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,3/453,12/18888,0.0025656590950028147,0.04022012075785044,0.03313416352967677,SFRP1/ZSWIM2/BMPR1B,3
BP,GO:0046660,female sex differentiation,9/453,121/18888,0.0025668311232217413,0.04022012075785044,0.03313416352967677,UBB/PTPRN/TNFAIP6/SFRP1/UMODL1/WT1/WNT4/AXL/BMPR1B,9
BP,GO:0048168,regulation of neuronal synaptic plasticity,6/453,58/18888,0.0025975794198360097,0.04054947948268348,0.033405496028011294,SYT4/JPH3/NEURL1/DRD2/RASGRF1/NOG,6
