ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0150063,visual system development,28/549,419/18805,0.06682577565632458,2.288995830996692,4.62725439139876,4.483834688296759e-5,0.0069211191152923545,0.005906525093154828,DLX1/DLX2/CRYAB/EPHA2/COL5A1/TUB/TH/EGFR/RDH10/WNT7A/NHS/DCX/SHH/ADAMTS9/NKD1/PRSS56/DRD2/SAMD11/WT1/MYO7A/AQP1/BMPR1B/SLC17A8/LAMC3/SDK1/CRYBG3/SIX3/TCIRG1,28
BP,GO:0061448,connective tissue development,22/549,291/18805,0.07560137457044673,2.5895880670259577,4.739029788908361,4.856324499369578e-5,0.007017673455490168,0.005988925153568657,DLX2/UBB/COL5A1/WNT7A/CSGALNACT1/PDGFB/SMPD3/WNT10B/CHI3L1/BMP5/COL27A1/UMODL1/BMP2/CCN3/RORC/FOXD1/WT1/RFLNA/ZNF664-RFLNA/BMPR1B/GDF6/SPI1,22
BP,GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,27/549,399/18805,0.06766917293233082,2.317884876124738,4.61416045756324,4.937699981483221e-5,0.007017673455490168,0.005988925153568657,CDKN2B/DLX1/SMAD9/EMILIN1/TNFAIP6/SHH/WNT1/SMPD3/BMP5/SFRP1/FOLR1/MSTN/BMP2/SMAD6/LDLRAD4/FOXD1/CILP/PRDM16/ADAMTSL2/CDH3/BMPR1B/GDF6/COL1A2/DLX5/LRG1/DMRT1/CLDN5,27
BP,GO:0060538,skeletal muscle organ development,17/549,192/18805,0.08854166666666667,3.0328343199757137,4.909676642076215,5.033500164743064e-5,0.007017673455490168,0.005988925153568657,HOMER1/FGFRL1/SHH/WNT10B/NEURL1/HOXD10/MSTN/KLHL41/HOXD9/WT1/PAX5/EOMES/CASQ1/RYR1/MYMX/CHRND/KEL,17
BP,GO:0014706,striated muscle tissue development,28/549,423/18805,0.06619385342789598,2.267350480348969,4.5717136084228365,5.295123229375588e-5,0.007049582470458955,0.006016156500764309,HOMER1/HCN4/SHH/WNT10B/EYA1/BMP5/ADAMTS9/NEURL1/HOXD10/MSTN/BMP2/SCN5A/KLHL41/HOXD9/WT1/PAX5/SOX15/MYLK3/GLI1/SGCG/EOMES/SLC8A1/CASQ1/RYR1/CHRND/KEL/COL14A1/TENM4,28
BP,GO:0060537,muscle tissue development,29/549,446/18805,0.06502242152466367,2.2272252035907107,4.5485781856203324,5.382605773372178e-5,0.007049582470458955,0.006016156500764309,HOMER1/IGFBP5/HCN4/SHH/WNT10B/EYA1/BMP5/ADAMTS9/NEURL1/HOXD10/MSTN/BMP2/SCN5A/KLHL41/HOXD9/WT1/PAX5/SOX15/MYLK3/GLI1/SGCG/EOMES/SLC8A1/CASQ1/RYR1/CHRND/KEL/COL14A1/TENM4,29
BP,GO:0071805,potassium ion transmembrane transport,18/549,216/18805,0.08333333333333333,2.8544323011536124,4.753552832850402,6.761190428302491e-5,0.00859466618562452,0.007334740328412362,KCNJ9/KCNF1/HCN4/KCNN2/ATP1A3/KCNJ16/KCNK3/SLC9A2/KCNK12/KCNN4/ANK3/KCNK13/ATP1A2/KCNG2/AQP1/KCNT1/CACNA1D/KEL,18
BP,GO:0051960,regulation of nervous system development,29/549,454/18805,0.06387665198237885,2.1879789444966016,4.443398684647044,7.37516184355008e-5,0.008857572164152937,0.007559105887428308,CDKN2B/DLX1/DLX2/SLITRK3/MAP6/L1CAM/SPP1/AMIGO2/EGFR/WNT7A/SHH/SYT4/OTP/SLITRK1/NEURL1/FLRT1/DRD2/BMP2/MYRF/NFATC4/HES2/IL33/TLX2/IL34/SEMA3F/KIAA0319/TGM2/CLSTN2/TENM4,29
BP,GO:0038065,collagen-activated signaling pathway,9/549,62/18805,0.14516129032258066,4.972236911686939,5.4327524314018,7.377894444921465e-5,0.008857572164152937,0.007559105887428308,COL4A5/EPHA2/EGFR/COL4A6/EPHA10/ITGA2/COL4A3/AXL/INSRR,9
BP,GO:0043010,camera-type eye development,25/549,366/18805,0.06830601092896176,2.339698607502961,4.488357552082506,8.029884350478078e-5,0.009138953164349341,0.007799238142156431,DLX1/DLX2/CRYAB/EPHA2/TUB/TH/EGFR/RDH10/WNT7A/NHS/DCX/SHH/ADAMTS9/PRSS56/DRD2/SAMD11/WT1/AQP1/BMPR1B/SLC17A8/LAMC3/SDK1/CRYBG3/SIX3/TCIRG1,25
BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,21/549,280/18805,0.075,2.5689890710382515,4.586995412227711,8.035173999196552e-5,0.009138953164349341,0.007799238142156431,CNTN2/SLITRK3/L1CAM/FGFRL1/AMIGO2/CADM3/MMP24/PCDH15/SLITRK1/ELFN2/BMP2/DSCAML1/CDH19/CDH3/PCDH7/MBP/SDK1/CD6/CLSTN2/CLDN5/TENM4,21
BP,GO:0030278,regulation of ossification,13/549,128/18805,0.1015625,3.4788393670309654,4.879870421523178,9.597437230450378e-5,0.010597341556787359,0.009043835654785285,WNT10B/FZD9/SFRP1/BMP2/TPH1/CCN3/SMAD6/NOTUM/RFLNA/ZNF664-RFLNA/BMPR1B/SLC8A1/ALOX5,13
BP,GO:0038084,vascular endothelial growth factor signaling pathway,11/549,95/18805,0.11578947368421053,3.96615856581344,5.026060972141577,1.0111612420037916e-4,0.010597341556787359,0.009043835654785285,EPHA2/EGFR/ADAMTS3/PTP4A3/EMILIN1/EPHA10/JCAD/PIK3CD/TSPAN32/AXL/INSRR,11
BP,GO:0048167,regulation of synaptic plasticity,18/549,223/18805,0.08071748878923767,2.764831287216055,4.59745913873167,1.0183978629356701e-4,0.010597341556787359,0.009043835654785285,CNTN2/NSG1/FAM107A/CPLX2/SYT12/SYT7/SYT4/JPH3/NEURL1/SHANK2/DRD2/SLC8A3/GRM2/RASGRF1/NFATC4/CYP46A1/SORCS2/MCTP1,18
