"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected","SYMBOL","LABEL"
"ENSG00000149257.16",4926.20171480935,-0.426206611544001,0.102280677769723,-4.16702959774645,3.08594443325424e-05,0.000348895483562584,"Stable","Sig",0.000348895483562584,"SERPINH1","SERPINH1"
"ENSG00000109618.13",239.608079876842,-0.882637055374408,0.21186825210681,-4.165971289221,3.10029721546789e-05,0.000350338357483144,"Stable","Sig",0.000350338357483144,"SEPSECS","SEPSECS"
"ENSG00000078902.16",1073.11388487641,0.46829555425078,0.112432657012301,4.16512040802828,3.11188284767906e-05,0.000351467219678377,"Stable","Sig",0.000351467219678377,"TOLLIP","TOLLIP"
"ENSG00000112855.17",1194.72278488135,0.462530191488968,0.111079451661281,4.16395818102685,3.12777426635721e-05,0.000353080986377505,"Stable","Sig",0.000353080986377505,"HARS2","HARS2"
"ENSG00000163281.12",496.774286474735,0.551512920238087,0.132492305523345,4.16260339088832,3.14639598322331e-05,0.000354932218546212,"Stable","Sig",0.000354932218546212,"GNPDA2","GNPDA2"
"ENSG00000227345.9",473.470428911997,-0.780677390154851,0.187548735558244,-4.16253081009127,3.14739658018867e-05,0.000354932218546212,"Stable","Sig",0.000354932218546212,"PARG","PARG"
"ENSG00000260979.1",5.89947069774112,6.10918506969918,1.46773628274951,4.16231794601062,3.15033286277746e-05,0.000355081530039973,"Up","Sig",0.000355081530039973,"USP7-AS1","USP7-AS1"
"ENSG00000161277.11",214.46957252411,-0.719733126226643,0.172963174929565,-4.16119284651046,3.16589595861572e-05,0.00035665315904119,"Stable","Sig",0.00035665315904119,"THAP8","THAP8"
"ENSG00000103260.9",1923.37339237877,-0.640042858009695,0.15382255879317,-4.16091672789227,3.16972655675665e-05,0.000356902135409041,"Stable","Sig",0.000356902135409041,"METRN","METRN"
"ENSG00000146410.12",307.121711392922,0.769847425389928,0.185070574080799,4.15975056658022,3.18595336059924e-05,0.000358545921378834,"Stable","Sig",0.000358545921378834,"MTFR2","MTFR2"
"ENSG00000135164.19",946.81729620443,0.677186650944926,0.162865821237341,4.15794207649054,3.2112741876975e-05,0.000361210943359805,"Stable","Sig",0.000361210943359805,"DMTF1","DMTF1"
"ENSG00000134824.14",21212.7941996143,-0.374717368162647,0.0901727573998277,-4.15554962460717,3.24506499169213e-05,0.000364825479208921,"Stable","Sig",0.000364825479208921,"FADS2","FADS2"
"ENSG00000151834.16",187.291018711802,-0.908579065840098,0.218696626353115,-4.15451797767139,3.25973988919615e-05,0.000366288323059469,"Stable","Sig",0.000366288323059469,"GABRA2","GABRA2"
"ENSG00000189190.11",244.213910022301,0.79058714893542,0.190374555063425,4.15279840665696,3.28434053698818e-05,0.000368864436443793,"Stable","Sig",0.000368864436443793,"ZNF600","ZNF600"
"ENSG00000132792.21",1298.03851791255,0.458769922744385,0.110494560943914,4.1519683758665,3.29627819786887e-05,0.00037001646804212,"Stable","Sig",0.00037001646804212,"CTNNBL1","CTNNBL1"
"ENSG00000171224.9",152.76562494403,1.00348582895206,0.24172421631477,4.15136656248513,3.30495935726362e-05,0.000370801960694722,"Up","Sig",0.000370801960694722,"FAM241B","FAM241B"
"ENSG00000265992.1",80.2299014670133,1.09762683557271,0.264415827933308,4.15113892444276,3.30824869428876e-05,0.000370982022622279,"Up","Sig",0.000370982022622279,"ESRG","ESRG"
"ENSG00000005448.17",554.430739834378,-0.60666609649741,0.14616359811898,-4.15059634755004,3.31610139710043e-05,0.000371673369820559,"Stable","Sig",0.000371673369820559,"WDR54","WDR54"
"ENSG00000163520.14",14.739657041878,2.82803258208301,0.681425349805211,4.15017225715395,3.32225157284128e-05,0.000372173289116258,"Up","Sig",0.000372173289116258,"FBLN2","FBLN2"
"ENSG00000290989.1",72.0652578766215,1.35397482298911,0.326405038033468,4.14814315105725,3.35182799268609e-05,0.000375295677228869,"Up","Sig",0.000375295677228869,NA,"ENSG00000290989.1"
"ENSG00000144597.14",1493.67532567297,0.537958470329728,0.12969963413548,4.1477254266407,3.3579477438941e-05,0.00037578984304636,"Stable","Sig",0.00037578984304636,"EAF1","EAF1"
"ENSG00000106366.9",6923.45444354726,-0.438687107628982,0.105796448660495,-4.1465201637982,3.37566464454747e-05,0.000377580691373862,"Stable","Sig",0.000377580691373862,"SERPINE1","SERPINE1"
"ENSG00000145191.15",1334.91082720853,-0.448894974331185,0.108280873402335,-4.14565343099187,3.3884601275955e-05,0.000378819522082047,"Stable","Sig",0.000378819522082047,"EIF2B5","EIF2B5"
"ENSG00000144589.22",370.226351548317,-0.639301602475776,0.154221705200399,-4.14534129061181,3.39307949484881e-05,0.000379143494645105,"Stable","Sig",0.000379143494645105,"STK11IP","STK11IP"
"ENSG00000065802.12",1142.88935792663,0.465513535832836,0.112316393366079,4.14466242978052,3.40314661898635e-05,0.000380024761370329,"Stable","Sig",0.000380024761370329,"ASB1","ASB1"
"ENSG00000119414.12",1196.79330972948,-0.447014537393655,0.107855288983704,-4.14457688265242,3.40441724565774e-05,0.000380024761370329,"Stable","Sig",0.000380024761370329,"PPP6C","PPP6C"
"ENSG00000275074.2",120.973342017865,-1.01659080778171,0.245332611403074,-4.14372472525261,3.41709891549658e-05,0.000381247145465536,"Down","Sig",0.000381247145465536,"NUDT18","NUDT18"
"ENSG00000169814.17",481.70447883514,-0.586542987987551,0.141579770155834,-4.14284461220664,3.43024370957427e-05,0.000382519936504626,"Stable","Sig",0.000382519936504626,"BTD","BTD"
"ENSG00000130818.12",683.152313663843,0.534972602593422,0.129141170276112,4.14254107694408,3.43478824126179e-05,0.000382832875635372,"Stable","Sig",0.000382832875635372,"ZNF426","ZNF426"
"ENSG00000149809.17",527.754664517574,-0.707259068461457,0.170760856886401,-4.1418102565037,3.44575355901048e-05,0.000383860780898567,"Stable","Sig",0.000383860780898567,"TM7SF2","TM7SF2"
"ENSG00000081087.16",2660.63199802798,0.49710395129303,0.12007397224526,4.13998089675637,3.47334744749201e-05,0.000386739151585258,"Stable","Sig",0.000386739151585258,"OSTM1","OSTM1"
"ENSG00000109270.13",524.356533448472,0.565764343953296,0.136668575709702,4.13968127651405,3.47788684363297e-05,0.000387048912805319,"Stable","Sig",0.000387048912805319,"LAMTOR3","LAMTOR3"
"ENSG00000165507.9",173.056030585863,0.996369760074528,0.24072383677434,4.13905732571281,3.48735809947102e-05,0.000387906943347221,"Stable","Sig",0.000387906943347221,"DEPP1","DEPP1"
"ENSG00000146802.13",866.452725472761,0.546034868410913,0.131937165179614,4.13859785199692,3.49434833190961e-05,0.000388488276940825,"Stable","Sig",0.000388488276940825,"TMEM168","TMEM168"
"ENSG00000136044.12",772.992171851609,-0.607606778131562,0.146860628616165,-4.13730203838093,3.51413402565931e-05,0.000390490856615139,"Stable","Sig",0.000390490856615139,"APPL2","APPL2"
"ENSG00000171497.5",790.038406888727,0.54970192776293,0.132900366691315,4.13619571900588,3.53111048973442e-05,0.000392179412132682,"Stable","Sig",0.000392179412132682,"PPID","PPID"
"ENSG00000095261.14",930.985053902348,-0.539458081073004,0.130509691035502,-4.13347144409575,3.57324710235389e-05,0.000396659244870172,"Stable","Sig",0.000396659244870172,"PSMD5","PSMD5"
"ENSG00000173039.20",2140.39116893759,0.43145170184462,0.104402170880201,4.13259320383002,3.58693239137853e-05,0.000397977828653505,"Stable","Sig",0.000397977828653505,"RELA","RELA"
"ENSG00000149196.17",275.466136435353,-0.826184011190052,0.19994019089887,-4.1321557585585,3.59376749164356e-05,0.00039853542414883,"Stable","Sig",0.00039853542414883,"HIKESHI","HIKESHI"
"ENSG00000115353.11",64.5784703129149,-1.40174268980426,0.339240261594434,-4.13200568592905,3.59611523049508e-05,0.000398595077183813,"Down","Sig",0.000398595077183813,"TACR1","TACR1"
"ENSG00000278341.1",18.1063644295435,2.49027550201564,0.60286160877294,4.13075814710498,3.61568820090856e-05,0.000400562962458803,"Up","Sig",0.000400562962458803,NA,"ENSG00000278341.1"
